,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Tot_qual_cond,degrees_west,degrees_north,SalePrice,nhood_median_price,living_SF,liv_plus_grg_SF,total_indoor_SF,qXGrLivArea,qXliving_SF,qXliv_plus_grg_SF,qXtotal_indoor_SF,degNXqXindoorSF,nhoodXqXindoorSF,nhoodXsize,nhoodXqual
10,11,20,RL,70.0,11200,Pave,None,0,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,0,2,906,0,0,134,1040,GasA,2,1,1,1040,0,0,1040,1,0,1,0,3,1,0,5,0,0,-2,Detchd,1965.0,1,1,384,0,0,Y,0,0,0,0,0,0,-1,None,None,0,2,2008,WD,Normal,-1,93.6196433,42.0262182,129500,135000.0,1946,2330,2464,1045,9730,11650,12320,517763.00822400005,1663200000.0,332640000.0,675000.0
11,12,60,RL,85.0,11924,Pave,None,1,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,4,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,2,0,PConc,2,0,0,5,998,0,0,177,1175,GasA,2,1,1,1182,1142,0,2324,1,0,3,0,4,1,2,11,0,2,1,BuiltIn,2005.0,3,3,736,0,0,Y,147,21,0,0,0,0,-1,None,None,0,7,2006,New,Partial,6,93.6521432,42.0593971,345000,315000.0,3322,4058,4235,2333,29898,36522,38115,1603093.9204664999,12006225000.0,1334025000.0,2835000.0
12,13,20,RL,,12968,Pave,None,2,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,0,0,CBlock,0,0,0,4,737,0,0,175,912,GasA,0,1,1,912,0,0,912,1,0,1,0,2,1,0,4,0,0,-2,Detchd,1962.0,1,1,352,0,0,Y,140,0,0,0,176,0,-1,None,None,0,9,2008,WD,Normal,-3,93.6196433,42.0262182,144000,135000.0,1649,2001,2176,917,8245,10005,10880,457245.254016,1468800000.0,293760000.0,675000.0
13,14,20,RL,91.0,10652,Pave,None,1,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,1,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,1,0,PConc,1,0,2,0,0,0,0,1494,1494,GasA,2,1,1,1494,0,0,1494,0,0,2,0,3,1,1,7,0,1,1,Attchd,2006.0,2,3,840,0,0,Y,160,33,0,0,0,0,-1,None,None,0,8,2007,New,Partial,4,93.6629245,42.0210558,279500,197200.0,1494,2334,3828,1501,10458,16338,26796,1125996.2112168,5284171200.0,754881600.0,1380400.0
14,15,20,RL,,10920,Pave,None,1,Lvl,AllPub,Corner,1,NAmes,0,0,1Fam,1,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,0,0,CBlock,0,0,0,3,733,0,0,520,1253,GasA,0,1,1,1253,0,0,1253,1,0,1,1,2,1,0,5,0,1,-1,Attchd,1960.0,2,1,352,0,0,Y,0,213,176,0,0,0,-1,GdWo,None,0,5,2008,WD,Normal,-2,,,157000,140000.0,1986,2338,2858,1259,11916,14028,17148,,2400720000.0,400120000.0,840000.0
15,16,45,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Corner,1,BrkSide,0,0,1Fam,2,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,832,832,GasA,2,1,0,854,0,0,854,0,0,1,0,2,1,0,5,0,0,-2,Detchd,1991.0,1,2,576,0,0,Y,48,112,0,0,0,0,-1,GdPrv,None,0,7,2007,WD,Normal,-1,93.6276074,42.0322741,132000,124300.0,854,1430,2262,861,5978,10010,15834,665539.0280994,1968166200.0,281166600.0,870100.0
16,17,20,RL,,11241,Pave,None,1,Lvl,AllPub,CulDSac,1,NAmes,0,0,1Fam,1,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,0,0,CBlock,0,0,0,4,578,0,0,426,1004,GasA,2,1,1,1004,0,0,1004,1,0,1,0,2,1,0,5,0,1,0,Attchd,1970.0,3,2,480,0,0,Y,0,0,0,0,0,0,-1,None,Shed,700,3,2010,WD,Normal,1,,,149000,140000.0,1582,2062,2488,1010,9492,12372,14928,,2089920000.0,348320000.0,840000.0
17,18,90,RL,72.0,10791,Pave,None,0,Lvl,AllPub,Inside,1,Sawyer,0,0,Duplex,1,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,Slab,-1,0,-1,0,0,0,0,0,0,GasA,0,1,1,1296,0,0,1296,0,0,2,0,2,2,0,6,0,0,-2,CarPort,1967.0,1,2,516,0,0,Y,0,0,0,0,0,0,-1,None,Shed,500,10,2006,WD,Normal,-3,93.6196433,42.0262182,90000,135000.0,1296,1812,1812,1300,5184,7248,7248,304606.0295136,978480000.0,244620000.0,540000.0
18,19,20,RL,66.0,13695,Pave,None,0,Lvl,AllPub,Inside,1,SawyerW,-2,0,1Fam,1,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,0,0,0,5,646,0,0,468,1114,GasA,2,1,1,1114,0,0,1114,1,0,1,1,3,1,1,6,0,0,-2,Detchd,2004.0,1,2,576,0,0,Y,0,102,0,0,0,0,-1,None,None,0,6,2008,WD,Normal,0,93.6196433,42.0262182,159000,179900.0,1760,2336,2804,1119,8800,11680,14020,589207.579164,2522198000.0,504439600.0,899500.0
19,20,20,RL,70.0,7560,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,0,0,CBlock,0,0,0,1,504,0,0,525,1029,GasA,0,1,1,1339,0,0,1339,0,0,1,0,3,1,0,6,-1,0,-2,Attchd,1958.0,1,1,294,0,0,Y,0,0,0,0,0,0,-1,MnPrv,None,0,5,2009,COD,Abnorml,-3,,,139000,140000.0,1843,2137,2662,1344,9215,10685,13310,,1863400000.0,372680000.0,700000.0
20,21,60,RL,101.0,14215,Pave,None,1,Lvl,AllPub,Corner,1,NridgHt,0,0,1Fam,4,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,1,0,PConc,2,0,2,0,0,0,0,1158,1158,GasA,2,1,1,1158,1218,0,2376,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2005.0,2,3,853,0,0,Y,240,154,0,0,0,0,-1,None,None,0,11,2006,New,Partial,4,93.6521432,42.0593971,325300,315000.0,2376,3229,4387,2384,19008,25832,35096,1476116.6006216,11055240000.0,1381905000.0,2520000.0
21,22,45,RM,57.0,7449,Pave,Grvl,0,Bnk,AllPub,Inside,1,IDOTRR,0,0,1Fam,2,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,PConc,0,0,0,0,0,0,0,637,637,GasA,2,1,-1,1108,0,0,1108,0,0,1,0,3,1,1,6,0,1,1,Attchd,1930.0,1,1,280,0,0,N,0,0,205,0,0,0,-1,GdPrv,None,0,6,2007,WD,Normal,3,93.6196433,42.0262182,139400,103000.0,1108,1388,2025,1115,7756,9716,14175,595721.642985,1460025000.0,208575000.0,721000.0
22,23,20,RL,75.0,9742,Pave,None,0,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,1,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,1,0,PConc,1,0,0,0,0,0,0,1777,1777,GasA,2,1,1,1795,0,0,1795,0,0,2,0,3,1,1,7,0,1,1,Attchd,2002.0,2,2,534,0,0,Y,171,159,0,0,0,0,-1,None,None,0,9,2008,WD,Normal,4,93.6629245,42.0210558,230000,197200.0,1795,2329,4106,1803,14360,18632,32848,1380307.6409184,6477625600.0,809703200.0,1577600.0
23,24,120,RM,44.0,4224,Pave,None,0,Lvl,AllPub,Inside,1,MeadowV,0,0,TwnhsE,1,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,0,0,PConc,1,0,0,5,840,0,0,200,1040,GasA,0,1,1,1060,0,0,1060,1,0,1,0,3,1,0,6,0,1,0,Attchd,1976.0,1,2,572,0,0,Y,100,110,0,0,0,0,-1,None,None,0,6,2007,WD,Normal,-1,93.6541354,42.0043774,129900,88000.0,1900,2472,2672,1065,9500,12360,13360,561178.482064,1175680000.0,235136000.0,440000.0
24,25,20,RL,,8246,Pave,None,1,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,0,1,CBlock,0,0,1,2,188,4,668,204,1060,GasA,2,1,1,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,0,Attchd,1968.0,1,1,270,0,0,Y,406,90,0,0,0,0,-1,MnPrv,None,0,5,2010,WD,Normal,3,93.6196433,42.0262182,154000,135000.0,1248,1518,2390,1065,6240,7590,11950,502213.30749000004,1613250000.0,322650000.0,675000.0
25,26,20,RL,110.0,14230,Pave,None,0,Lvl,AllPub,Corner,1,NridgHt,0,0,1Fam,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,1,0,PConc,1,0,0,0,0,0,0,1566,1566,GasA,2,1,1,1600,0,0,1600,0,0,2,0,3,1,1,7,0,1,1,Attchd,2007.0,2,3,890,0,0,Y,0,56,0,0,0,0,-1,None,None,0,7,2009,WD,Normal,4,93.6521432,42.0593971,256300,315000.0,1600,2490,4056,1608,12800,19920,32448,1364743.3171007999,10221120000.0,1277640000.0,2520000.0
26,27,20,RL,60.0,7200,Pave,None,0,Lvl,AllPub,Corner,1,NAmes,0,0,1Fam,1,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,CBlock,0,0,1,3,234,2,486,180,900,GasA,0,1,1,900,0,0,900,0,1,1,0,3,1,1,5,0,0,-2,Detchd,2005.0,1,2,576,0,0,Y,222,32,0,0,0,0,-1,None,None,0,5,2010,WD,Normal,-2,,,134800,140000.0,1134,1710,2376,905,5670,8550,11880,,1663200000.0,332640000.0,700000.0
27,28,20,RL,98.0,11478,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,1,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,1,0,PConc,2,0,0,5,1218,0,0,486,1704,GasA,2,1,1,1704,0,0,1704,1,0,2,0,3,1,1,7,0,1,1,Attchd,2008.0,2,3,772,0,0,Y,0,50,0,0,0,0,-1,None,None,0,5,2010,WD,Normal,4,93.6521432,42.0593971,306000,315000.0,2922,3694,4180,1712,23376,29552,33440,1406466.239024,10533600000.0,1316700000.0,2520000.0
28,29,20,RL,47.0,16321,Pave,None,1,Lvl,AllPub,CulDSac,1,NAmes,0,0,1Fam,1,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,0,0,1,3,1277,0,0,207,1484,GasA,0,1,1,1600,0,0,1600,1,0,1,0,2,1,0,6,0,2,1,Attchd,1957.0,2,1,319,0,0,Y,288,258,0,0,0,0,-1,None,None,0,12,2006,WD,Normal,0,,,207500,140000.0,2877,3196,3403,1605,14385,15980,17015,,2382100000.0,476420000.0,700000.0
29,30,30,RM,60.0,6324,Pave,None,1,Lvl,AllPub,Inside,1,BrkSide,-2,-1,1Fam,1,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,520,520,GasA,-1,0,1,520,0,0,520,0,0,1,0,1,1,-1,4,0,0,-2,Detchd,1920.0,1,1,240,-1,0,Y,49,0,87,0,0,0,-1,None,None,0,5,2008,WD,Normal,-6,93.6276074,42.0322741,68500,124300.0,520,760,1280,524,2080,3040,5120,215205.243392,636416000.0,159104000.0,497200.0
30,31,70,C (all),50.0,8500,Pave,Pave,0,Lvl,AllPub,Inside,1,IDOTRR,-2,0,1Fam,4,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,0,-1,BrkTil,0,0,0,0,0,0,0,649,649,GasA,0,0,1,649,668,0,1317,0,0,1,0,3,1,0,6,0,0,-2,Detchd,1920.0,1,1,250,0,-1,N,0,54,172,0,0,0,-1,MnPrv,None,0,7,2008,WD,Normal,-5,93.6196433,42.0262182,40000,103000.0,1317,1567,2216,1321,5268,6268,8864,372520.3981248,912992000.0,228248000.0,412000.0
31,32,20,RL,,8544,Pave,None,1,Lvl,AllPub,CulDSac,1,Sawyer,0,0,1Fam,1,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,0,0,0,0,0,1228,1228,GasA,1,1,1,1228,0,0,1228,0,0,1,1,3,1,1,6,0,0,-2,Attchd,1966.0,1,1,271,0,0,Y,0,65,0,0,0,0,-1,MnPrv,None,0,6,2008,WD,Normal,-1,93.6196433,42.0262182,149350,135000.0,1228,1499,2727,1233,6140,7495,13635,573027.485157,1840725000.0,368145000.0,675000.0
32,33,20,RL,85.0,11049,Pave,None,0,Lvl,AllPub,Corner,1,CollgCr,0,0,1Fam,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,1,0,PConc,2,0,2,0,0,0,0,1234,1234,GasA,2,1,1,1234,0,0,1234,0,0,2,0,3,1,1,7,0,0,-2,Attchd,2007.0,2,2,484,0,0,Y,0,30,0,0,0,0,-1,None,None,0,1,2008,WD,Normal,1,93.6629245,42.0210558,179900,197200.0,1234,1718,2952,1242,9872,13744,23616,992369.2537728,4657075200.0,582134400.0,1577600.0
33,34,20,RL,70.0,10552,Pave,None,1,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,0,0,CBlock,0,0,0,2,1018,0,0,380,1398,GasA,1,1,1,1700,0,0,1700,0,1,1,1,4,1,1,6,0,1,1,Attchd,1959.0,2,2,447,0,0,Y,0,38,0,0,0,0,-1,None,None,0,4,2010,WD,Normal,2,,,165500,140000.0,2718,3165,3545,1705,13590,15825,17725,,2481500000.0,496300000.0,700000.0
34,35,120,RL,60.0,7313,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,TwnhsE,1,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,2,0,PConc,2,0,0,5,1153,0,0,408,1561,GasA,2,1,1,1561,0,0,1561,1,0,2,0,2,1,2,6,0,1,1,Attchd,2005.0,3,2,556,0,0,Y,203,47,0,0,0,0,-1,None,None,0,8,2007,WD,Normal,6,93.6521432,42.0593971,277500,315000.0,2714,3270,3678,1570,24426,29430,33102,1392250.1628041998,10427130000.0,1158570000.0,2835000.0
35,36,60,RL,108.0,13418,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,4,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,1,0,PConc,2,0,2,0,0,0,0,1117,1117,GasA,2,1,1,1132,1320,0,2452,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2004.0,3,3,691,0,0,Y,113,32,0,0,0,0,-1,None,None,0,9,2006,WD,Normal,4,93.6521432,42.0593971,309000,315000.0,2452,3143,4260,2460,19616,25144,34080,1433384.253168,10735200000.0,1341900000.0,2520000.0
36,37,20,RL,112.0,10859,Pave,None,0,Lvl,AllPub,Corner,1,CollgCr,0,0,1Fam,1,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,1,0,0,0,0,0,0,1097,1097,GasA,2,1,1,1097,0,0,1097,0,0,1,1,3,1,0,6,0,0,-2,Attchd,1995.0,1,2,672,0,0,Y,392,64,0,0,0,0,-1,None,None,0,6,2009,WD,Normal,-1,93.6629245,42.0210558,145000,197200.0,1097,1769,2866,1102,5485,8845,14330,602161.729614,2825876000.0,565175200.0,986000.0
37,38,20,RL,74.0,8532,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,0,0,CBlock,0,0,0,2,1213,0,0,84,1297,GasA,1,1,1,1297,0,0,1297,0,1,1,0,3,1,0,5,0,1,0,Attchd,1954.0,3,2,498,0,0,Y,0,0,0,0,0,0,-1,None,None,0,10,2009,WD,Normal,0,,,153000,140000.0,2510,3008,3092,1302,12550,15040,15460,,2164400000.0,432880000.0,700000.0
38,39,20,RL,68.0,7922,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,0,1,CBlock,0,0,0,5,731,0,0,326,1057,GasA,0,1,1,1057,0,0,1057,1,0,1,0,3,1,1,5,0,0,-2,Detchd,1953.0,1,1,246,0,0,Y,0,52,0,0,0,0,-1,None,None,0,1,2010,WD,Abnorml,-1,,,109000,140000.0,1788,2034,2360,1062,8940,10170,11800,,1652000000.0,330400000.0,700000.0
39,40,90,RL,65.0,6040,Pave,None,0,Lvl,AllPub,Inside,1,Edwards,0,0,Duplex,1,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,0,0,PConc,-1,0,-1,0,0,0,0,0,0,GasA,0,0,-2,1152,0,0,1152,0,0,2,0,2,2,-1,6,0,0,-2,None,,0,0,0,-2,-2,N,0,0,0,0,0,0,-1,None,None,0,6,2008,WD,AdjLand,-8,93.6700775,42.0256764,82000,121750.0,1152,1152,1152,1156,4608,4608,4608,193654.3168512,561024000.0,140256000.0,487000.0
40,41,20,RL,84.0,8658,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,0,0,CBlock,0,0,0,2,643,0,0,445,1088,GasA,2,1,1,1324,0,0,1324,0,0,2,0,3,1,0,6,0,1,0,Attchd,1965.0,2,2,440,0,0,Y,0,138,0,0,0,0,-1,GdWo,None,0,12,2006,WD,Abnorml,1,,,160000,140000.0,1967,2407,2852,1330,11802,14442,17112,,2395680000.0,399280000.0,840000.0
41,42,20,RL,115.0,16905,Pave,None,0,Lvl,AllPub,Inside,1,Timber,0,0,1Fam,1,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,0,1,CBlock,0,0,1,3,967,0,0,383,1350,GasA,1,1,1,1328,0,0,1328,0,1,1,1,2,1,0,5,0,2,1,Attchd,1959.0,2,1,308,0,0,P,0,104,0,0,0,0,-1,None,None,0,7,2007,WD,Normal,2,93.6511065,42.0014912,170000,228475.0,2295,2603,2986,1333,11475,13015,14930,627082.263616,3411131750.0,682226350.0,1142375.0
42,43,85,RL,,9180,Pave,None,1,Lvl,AllPub,CulDSac,1,SawyerW,0,0,1Fam,3,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,1,0,2,4,747,1,93,0,840,GasA,1,1,1,884,0,0,884,1,0,1,0,2,1,1,5,0,0,-2,Attchd,1983.0,2,2,504,0,1,Y,240,0,0,0,0,0,-1,MnPrv,None,0,12,2007,WD,Normal,0,93.6196433,42.0262182,144000,179900.0,1631,2135,2228,889,8155,10675,11140,468172.070748,2004086000.0,400817200.0,899500.0
