,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Tot_qual_cond,degrees_west,degrees_north
21,22,45,RM,57.0,7449,Pave,Grvl,0,Bnk,AllPub,Inside,1,IDOTRR,0,0,1Fam,2,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,PConc,0,0,0,0,0,0,0,637,637,GasA,2,1,-1,1108,0,0,1108,0,0,1,0,3,1,1,6,0,1,1,Attchd,1930.0,1,1,280,0,0,N,0,0,205,0,0,0,-1,GdPrv,None,0,6,2007,WD,Normal,139400,3,93.6196433,42.0262182
22,23,20,RL,75.0,9742,Pave,None,0,Lvl,AllPub,Inside,1,CollgCr,0,0,1Fam,1,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,1,0,PConc,1,0,0,0,0,0,0,1777,1777,GasA,2,1,1,1795,0,0,1795,0,0,2,0,3,1,1,7,0,1,1,Attchd,2002.0,2,2,534,0,0,Y,171,159,0,0,0,0,-1,None,None,0,9,2008,WD,Normal,230000,4,93.6629245,42.0210558
23,24,120,RM,44.0,4224,Pave,None,0,Lvl,AllPub,Inside,1,MeadowV,0,0,TwnhsE,1,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,0,0,PConc,1,0,0,5,840,0,0,200,1040,GasA,0,1,1,1060,0,0,1060,1,0,1,0,3,1,0,6,0,1,0,Attchd,1976.0,1,2,572,0,0,Y,100,110,0,0,0,0,-1,None,None,0,6,2007,WD,Normal,129900,-1,93.6541354,42.0043774
24,25,20,RL,,8246,Pave,None,1,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,0,1,CBlock,0,0,1,2,188,4,668,204,1060,GasA,2,1,1,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,0,Attchd,1968.0,1,1,270,0,0,Y,406,90,0,0,0,0,-1,MnPrv,None,0,5,2010,WD,Normal,154000,3,93.6196433,42.0262182
25,26,20,RL,110.0,14230,Pave,None,0,Lvl,AllPub,Corner,1,NridgHt,0,0,1Fam,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,1,0,PConc,1,0,0,0,0,0,0,1566,1566,GasA,2,1,1,1600,0,0,1600,0,0,2,0,3,1,1,7,0,1,1,Attchd,2007.0,2,3,890,0,0,Y,0,56,0,0,0,0,-1,None,None,0,7,2009,WD,Normal,256300,4,93.6521432,42.0593971
26,27,20,RL,60.0,7200,Pave,None,0,Lvl,AllPub,Corner,1,NAmes,0,0,1Fam,1,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,CBlock,0,0,1,3,234,2,486,180,900,GasA,0,1,1,900,0,0,900,0,1,1,0,3,1,1,5,0,0,-2,Detchd,2005.0,1,2,576,0,0,Y,222,32,0,0,0,0,-1,None,None,0,5,2010,WD,Normal,134800,-2,,
27,28,20,RL,98.0,11478,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,1,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,1,0,PConc,2,0,0,5,1218,0,0,486,1704,GasA,2,1,1,1704,0,0,1704,1,0,2,0,3,1,1,7,0,1,1,Attchd,2008.0,2,3,772,0,0,Y,0,50,0,0,0,0,-1,None,None,0,5,2010,WD,Normal,306000,4,93.6521432,42.0593971
28,29,20,RL,47.0,16321,Pave,None,1,Lvl,AllPub,CulDSac,1,NAmes,0,0,1Fam,1,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,0,0,1,3,1277,0,0,207,1484,GasA,0,1,1,1600,0,0,1600,1,0,1,0,2,1,0,6,0,2,1,Attchd,1957.0,2,1,319,0,0,Y,288,258,0,0,0,0,-1,None,None,0,12,2006,WD,Normal,207500,0,,
29,30,30,RM,60.0,6324,Pave,None,1,Lvl,AllPub,Inside,1,BrkSide,-2,-1,1Fam,1,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,520,520,GasA,-1,0,1,520,0,0,520,0,0,1,0,1,1,-1,4,0,0,-2,Detchd,1920.0,1,1,240,-1,0,Y,49,0,87,0,0,0,-1,None,None,0,5,2008,WD,Normal,68500,-6,93.6276074,42.0322741
30,31,70,C (all),50.0,8500,Pave,Pave,0,Lvl,AllPub,Inside,1,IDOTRR,-2,0,1Fam,4,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,0,-1,BrkTil,0,0,0,0,0,0,0,649,649,GasA,0,0,1,649,668,0,1317,0,0,1,0,3,1,0,6,0,0,-2,Detchd,1920.0,1,1,250,0,-1,N,0,54,172,0,0,0,-1,MnPrv,None,0,7,2008,WD,Normal,40000,-5,93.6196433,42.0262182
31,32,20,RL,,8544,Pave,None,1,Lvl,AllPub,CulDSac,1,Sawyer,0,0,1Fam,1,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,0,0,0,0,0,1228,1228,GasA,1,1,1,1228,0,0,1228,0,0,1,1,3,1,1,6,0,0,-2,Attchd,1966.0,1,1,271,0,0,Y,0,65,0,0,0,0,-1,MnPrv,None,0,6,2008,WD,Normal,149350,-1,93.6196433,42.0262182
32,33,20,RL,85.0,11049,Pave,None,0,Lvl,AllPub,Corner,1,CollgCr,0,0,1Fam,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,1,0,PConc,2,0,2,0,0,0,0,1234,1234,GasA,2,1,1,1234,0,0,1234,0,0,2,0,3,1,1,7,0,0,-2,Attchd,2007.0,2,2,484,0,0,Y,0,30,0,0,0,0,-1,None,None,0,1,2008,WD,Normal,179900,1,93.6629245,42.0210558
33,34,20,RL,70.0,10552,Pave,None,1,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,0,0,CBlock,0,0,0,2,1018,0,0,380,1398,GasA,1,1,1,1700,0,0,1700,0,1,1,1,4,1,1,6,0,1,1,Attchd,1959.0,2,2,447,0,0,Y,0,38,0,0,0,0,-1,None,None,0,4,2010,WD,Normal,165500,2,,
34,35,120,RL,60.0,7313,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,TwnhsE,1,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,2,0,PConc,2,0,0,5,1153,0,0,408,1561,GasA,2,1,1,1561,0,0,1561,1,0,2,0,2,1,2,6,0,1,1,Attchd,2005.0,3,2,556,0,0,Y,203,47,0,0,0,0,-1,None,None,0,8,2007,WD,Normal,277500,6,93.6521432,42.0593971
35,36,60,RL,108.0,13418,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,1Fam,4,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,1,0,PConc,2,0,2,0,0,0,0,1117,1117,GasA,2,1,1,1132,1320,0,2452,0,0,3,1,4,1,1,9,0,1,1,BuiltIn,2004.0,3,3,691,0,0,Y,113,32,0,0,0,0,-1,None,None,0,9,2006,WD,Normal,309000,4,93.6521432,42.0593971
36,37,20,RL,112.0,10859,Pave,None,0,Lvl,AllPub,Corner,1,CollgCr,0,0,1Fam,1,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,1,0,0,0,0,0,0,1097,1097,GasA,2,1,1,1097,0,0,1097,0,0,1,1,3,1,0,6,0,0,-2,Attchd,1995.0,1,2,672,0,0,Y,392,64,0,0,0,0,-1,None,None,0,6,2009,WD,Normal,145000,-1,93.6629245,42.0210558
37,38,20,RL,74.0,8532,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,0,0,CBlock,0,0,0,2,1213,0,0,84,1297,GasA,1,1,1,1297,0,0,1297,0,1,1,0,3,1,0,5,0,1,0,Attchd,1954.0,3,2,498,0,0,Y,0,0,0,0,0,0,-1,None,None,0,10,2009,WD,Normal,153000,0,,
38,39,20,RL,68.0,7922,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,0,1,CBlock,0,0,0,5,731,0,0,326,1057,GasA,0,1,1,1057,0,0,1057,1,0,1,0,3,1,1,5,0,0,-2,Detchd,1953.0,1,1,246,0,0,Y,0,52,0,0,0,0,-1,None,None,0,1,2010,WD,Abnorml,109000,-1,,
39,40,90,RL,65.0,6040,Pave,None,0,Lvl,AllPub,Inside,1,Edwards,0,0,Duplex,1,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,0,0,PConc,-1,0,-1,0,0,0,0,0,0,GasA,0,0,-2,1152,0,0,1152,0,0,2,0,2,2,-1,6,0,0,-2,None,,0,0,0,-2,-2,N,0,0,0,0,0,0,-1,None,None,0,6,2008,WD,AdjLand,82000,-8,93.6700775,42.0256764
40,41,20,RL,84.0,8658,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,0,0,CBlock,0,0,0,2,643,0,0,445,1088,GasA,2,1,1,1324,0,0,1324,0,0,2,0,3,1,0,6,0,1,0,Attchd,1965.0,2,2,440,0,0,Y,0,138,0,0,0,0,-1,GdWo,None,0,12,2006,WD,Abnorml,160000,1,,
41,42,20,RL,115.0,16905,Pave,None,0,Lvl,AllPub,Inside,1,Timber,0,0,1Fam,1,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,0,1,CBlock,0,0,1,3,967,0,0,383,1350,GasA,1,1,1,1328,0,0,1328,0,1,1,1,2,1,0,5,0,2,1,Attchd,1959.0,2,1,308,0,0,P,0,104,0,0,0,0,-1,None,None,0,7,2007,WD,Normal,170000,2,93.6511065,42.0014912
42,43,85,RL,,9180,Pave,None,1,Lvl,AllPub,CulDSac,1,SawyerW,0,0,1Fam,,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,1,0,2,4,747,1,93,0,840,GasA,1,1,1,884,0,0,884,1,0,1,0,2,1,1,5,0,0,-2,Attchd,1983.0,2,2,504,0,1,Y,240,0,0,0,0,0,-1,MnPrv,None,0,12,2007,WD,Normal,144000,0,93.6196433,42.0262182
43,44,20,RL,,9200,Pave,None,1,Lvl,AllPub,CulDSac,1,CollgCr,0,0,1Fam,1,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,0,0,CBlock,1,0,2,1,280,3,491,167,938,GasA,0,1,1,938,0,0,938,1,0,1,0,3,1,0,5,0,0,-2,Detchd,1977.0,1,1,308,0,0,Y,145,0,0,0,0,0,-1,MnPrv,None,0,7,2008,WD,Normal,130250,-3,93.6629245,42.0210558
44,45,20,RL,70.0,7945,Pave,None,0,Lvl,AllPub,Inside,1,NAmes,0,0,1Fam,1,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,0,0,CBlock,0,0,0,4,179,3,506,465,1150,GasA,2,1,0,1150,0,0,1150,1,0,1,0,3,1,0,6,0,0,-2,Attchd,1959.0,2,1,300,0,0,Y,0,0,0,0,0,0,-1,None,None,0,5,2006,WD,Normal,141000,-1,,
45,46,120,RL,61.0,7658,Pave,None,0,Lvl,AllPub,Inside,1,NridgHt,0,0,TwnhsE,1,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,2,0,PConc,2,0,0,5,456,0,0,1296,1752,GasA,2,1,1,1752,0,0,1752,1,0,2,0,2,1,2,6,0,1,1,Attchd,2005.0,2,2,576,0,0,Y,196,82,0,0,0,0,-1,None,None,0,2,2010,WD,Normal,319900,6,93.6521432,42.0593971
46,47,50,RL,48.0,12822,Pave,None,1,Lvl,AllPub,CulDSac,1,Mitchel,0,0,1Fam,3,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,1,0,PConc,2,0,0,5,1351,0,0,83,1434,GasA,2,1,1,1518,631,0,2149,1,0,1,1,1,1,1,6,0,1,2,Attchd,2003.0,2,2,670,0,0,Y,168,43,0,0,198,0,-1,None,None,0,8,2009,WD,Abnorml,239686,5,93.6048323,41.9923905
47,48,20,FV,84.0,11096,Pave,None,0,Lvl,AllPub,Inside,1,Somerst,0,0,1Fam,1,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,1,0,PConc,1,0,2,5,24,0,0,1632,1656,GasA,2,1,1,1656,0,0,1656,0,0,2,0,3,1,1,7,0,0,-2,Attchd,2006.0,2,3,826,0,0,Y,0,146,0,0,0,0,-1,None,None,0,7,2007,WD,Normal,249700,1,93.6435389,42.0489287
48,49,190,RM,33.0,4456,Pave,None,0,Lvl,AllPub,Inside,1,OldTown,0,0,2fmCon,4,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,0,0,0,0,0,736,736,GasA,1,1,1,736,716,0,1452,0,0,2,0,2,3,0,8,0,0,-2,None,,0,0,0,-2,-2,N,0,0,102,0,0,0,-1,None,None,0,6,2009,New,Partial,113000,-6,93.6158599,42.0315288
49,50,20,RL,66.0,7742,Pave,None,0,Lvl,AllPub,Inside,1,Sawyer,0,0,1Fam,1,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0.0,0,0,CBlock,0,0,0,3,763,0,0,192,955,GasA,2,1,1,955,0,0,955,1,0,1,0,3,1,0,6,0,0,-2,Attchd,1966.0,1,1,386,0,0,Y,0,0,0,0,0,0,-1,MnPrv,None,0,1,2007,WD,Normal,127000,-1,93.6196433,42.0262182
50,51,60,RL,,13869,Pave,None,2,Lvl,AllPub,Corner,1,Gilbert,0,0,1Fam,4,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,PConc,1,0,2,5,182,0,0,612,794,GasA,1,1,1,794,676,0,1470,0,1,2,0,3,1,0,6,0,0,-2,Attchd,1997.0,3,2,388,0,0,Y,0,75,0,0,0,0,-1,None,None,0,7,2007,WD,Normal,177000,-2,93.6482427,42.1073852
51,52,50,RM,52.0,6240,Pave,None,0,Lvl,AllPub,Inside,1,BrkSide,0,0,1Fam,3,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,0,0,PConc,0,0,0,0,0,0,0,816,816,GasA,0,1,1,816,0,360,1176,0,0,1,0,3,1,0,6,0,1,1,Detchd,1985.0,1,2,528,0,0,Y,112,0,0,0,0,0,-1,MnPrv,Shed,400,9,2006,WD,Normal,114500,0,93.6276074,42.0322741
52,53,90,RM,110.0,8472,Grvl,None,2,Bnk,AllPub,Corner,2,IDOTRR,-1,0,Duplex,1,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,-1,0,CBlock,1,0,1,1,104,5,712,0,816,GasA,0,0,1,816,0,0,816,1,0,1,0,2,1,0,5,0,0,-2,CarPort,1963.0,1,2,516,0,0,Y,106,0,0,0,0,0,-1,None,None,0,5,2010,WD,Normal,110000,-4,93.6196433,42.0262182
53,54,20,RL,68.0,50271,Pave,None,1,Low,AllPub,Inside,1,Veenker,0,0,1Fam,1,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,,0.0,1,0,CBlock,2,0,1,5,1810,0,0,32,1842,GasA,1,1,1,1842,0,0,1842,2,0,0,1,0,1,1,5,0,1,1,Attchd,1981.0,3,3,894,0,0,Y,857,72,0,0,0,0,-1,None,None,0,11,2006,WD,Normal,385000,3,93.6515453,42.0383826
